"","Movie","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year","...1","Book","book_year","movie_year","time_diff"
"57","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,185,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1915,42
"58","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,188,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1948,75
"59","Anna Karenina",194,"Anna Karenina",858553,858553,"100%","-","-",1997,184,"Anna Karenina (serialised 1873–1887, published as a book 1888), Leo Tolstoy",1873,1914,41
"60","Annihilation",135,"Annihilation",43070915,32732301,"76%","$10,338,614","24%",2018,207,"Annihilation (2014), Jeff VanderMeer",2014,2018,4
"61","Appointment with Death",175,"Appointment with Death",960040,960040,"100%","-","-",1988,218,"Appointment with Death (1938), Agatha Christie",1938,1988,50
"62","Around the World in 80 Days",75,"Around the World in 80 Days",72178895,24008137,"33.3%","$48,170,758","66.7%",2004,225,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",1873,1956,83
"63","Around the World in 80 Days",75,"Around the World in 80 Days",72178895,24008137,"33.3%","$48,170,758","66.7%",2004,234,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",1873,2004,131
"64","Around the World in 80 Days",75,"Around the World in 80 Days",72178895,24008137,"33.3%","$48,170,758","66.7%",2004,235,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",1873,2021,148
"65","Around the World in 80 Days",75,"Around the World in 80 Days",72178895,24008137,"33.3%","$48,170,758","66.7%",2004,230,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",1873,1988,115
"66","Around the World in 80 Days",75,"Around the World in 80 Days",72178895,24008137,"33.3%","$48,170,758","66.7%",2004,231,"Around the World in Eighty Days (French: Le tour du monde en quatre-vingts jours) (1873), Jules Verne",1873,1998,125
"67","At Play in the Fields of the Lord",161,"At Play in the Fields of the Lord",1345903,1345903,"100%","-","-",1991,249,"At Play in the Fields of the Lord (1965), Peter Matthiessen",1965,1991,26
"68","Atonement",48,"Atonement",129266061,50927067,"39.4%","$78,338,994","60.6%",2007,255,"Atonement (2001), Ian McEwan",2001,2007,6
"69","Babylon A.D.",80,"Babylon A.D.",72109200,22532572,"31.2%","$49,576,628","68.8%",2008,267,"Babylon Babies (1999), Maurice Georges Dantec",1999,2008,9
"70","Bad Moon",200,"Bad Moon",1055525,1055525,"100%","-","-",1996,3166,"Thor (1993), Wayne Smith",1993,1996,3
"71","Battlefield Earth",102,"Battlefield Earth",29725663,21471685,"72.2%","$8,253,978","27.8%",2000,295,"Battlefield Earth (1982), L. Ron Hubbard",1982,2000,18
"72","Be Cool",57,"Be Cool",95763716,56046979,"58.5%","$39,716,737","41.5%",2005,296,"Be Cool (1999), Elmore Leonard",1999,2005,6
"73","Beaches",15,"Beaches",57041866,57041866,"100%","-","-",1988,300,"Beaches (1985), Iris Rainer Dart",1985,1988,3
"74","Beastmaster 2: Through the Portal of Time",179,"Beastmaster 2: Through the Portal of Time",869325,869325,"100%","-","-",1991,310,"The Beast Master (1959), Andre Norton",1959,1991,32
"75","Beautiful Creatures",112,"Beautiful Creatures",60052138,19452138,"32.4%","$40,600,000","67.6%",2013,325,"Beautiful Creatures (2009), Kami Garcia and Margaret Stohl",2009,2013,4
"76","Being Julia",177,"Being Julia",14339171,7739049,"54%","$6,600,122","46%",2004,3146,"Theatre (1937), W. Somerset Maugham",1937,2004,67
"77","Being There",24,"Being There",30178926,30177511,"100%","$93","<0.1%",1979,332,"Being There (1971), Jerzy Kosinski",1971,1979,8
"78","Belle de Jour",157,"Belle de Jour",4037380,4037017,"100%","-","-",1995,337,"Belle de Jour (1928), Joseph Kessel",1928,1967,39
"79","Beloved",86,"Beloved",22852487,22852487,"100%","-","-",1998,341,"Beloved (1987), Toni Morrison",1987,1998,11
"80","Ben-Hur",82,"Ben-Hur",94061311,26410477,"28.1%","$67,650,834","71.9%",2016,343,"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",1880,1925,45
"81","Ben-Hur",82,"Ben-Hur",94061311,26410477,"28.1%","$67,650,834","71.9%",2016,346,"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",1880,2016,136
"82","Ben-Hur",82,"Ben-Hur",94061311,26410477,"28.1%","$67,650,834","71.9%",2016,344,"Ben-Hur: A Tale of the Christ (1880), Lew Wallace",1880,1959,79
"83","Bicentennial Man",47,"Bicentennial Man",87423861,58223861,"66.6%","$29,200,000","33.4%",1999,2592,"The Positronic Man (1993), Isaac Asimov and Robert Silverberg",1993,1999,6
"84","Big Fish",47,"Big Fish",122919055,66809693,"54.4%","$56,109,362","45.6%",2003,370,"Big Fish: A Novel of Mythic Proportions (1998), Daniel Wallace",1998,2003,5
"85","Billy Bathgate",72,"Billy Bathgate",15565363,15565363,"100%","-","-",1991,379,"Billy Bathgate (1989), E. L. Doctorow",1989,1991,2
"86","Birdy",146,"Birdy",1455045,1455045,"100%","-","-",1984,381,"Birdy (1978), William Wharton",1978,1984,6
"87","Bitter Moon",175,"Bitter Moon",1862805,1862805,"100%","-","-",1994,385,"Bitter Moon (French: Lunes de fiel) (1981), Pascal Bruckner",1981,1992,11
"88","Bitter Moon",175,"Bitter Moon",1862805,1862805,"100%","-","-",1994,1119,"Evil Angels (French: Lunes de fiel) (1981), Pascal Bruckner",1981,1992,11
"89","Black Beauty",143,"Black Beauty",4630377,4630377,"100%","-","-",1994,402,"Black Beauty (1877), Anna Sewell",1877,1995,118
"90","Black Beauty",143,"Black Beauty",4630377,4630377,"100%","-","-",1994,399,"Black Beauty (1877), Anna Sewell",1877,1971,94
"91","Black Beauty",143,"Black Beauty",4630377,4630377,"100%","-","-",1994,397,"Black Beauty (1877), Anna Sewell",1877,1946,69
"92","Black Beauty",143,"Black Beauty",4630377,4630377,"100%","-","-",1994,400,"Black Beauty (1877), Anna Sewell",1877,1987,110
"93","Black Beauty",143,"Black Beauty",4630377,4630377,"100%","-","-",1994,396,"Black Beauty (1877), Anna Sewell",1877,1933,56
"94","Black Beauty",143,"Black Beauty",4630377,4630377,"100%","-","-",1994,401,"Black Beauty (1877), Anna Sewell",1877,1994,117
"95","Black Beauty",143,"Black Beauty",4630377,4630377,"100%","-","-",1994,395,"Black Beauty (1877), Anna Sewell",1877,1921,44
"96","Black Beauty",143,"Black Beauty",4630377,4630377,"100%","-","-",1994,403,"Black Beauty (1877), Anna Sewell",1877,2020,143
"97","Black Knight",85,"Black Knight",39976235,33426971,"83.6%","$6,549,264","16.4%",2001,688,"A Connecticut Yankee in King Arthur's Court (1889), Mark Twain",1889,2001,112
"98","Black Rain",28,"Black Rain",46212140,46212055,"100%","-","-",1989,409,"Black Rain (黒い雨, Kuroi Ame) (1965), Masuji Ibuse",1965,1989,24
"99","Black Sunday",27,"Black Sunday",15769322,15769322,"100%","-","-",1977,414,"Black Sunday (1971), Thomas Harris",1971,1977,6
"100","Blade Runner",27,"Blade Runner",27620230,27580111,"99.9%","-","-",1982,887,"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick",1967,1982,15
"101","Blade Runner 2049",35,"Blade Runner 2049",259154159,92054159,"35.5%","$167,100,000","64.5%",2017,888,"Do Androids Dream of Electric Sheep? (1967), Philip K. Dick",1967,2017,50
"102","Bless the Child",85,"Bless the Child",40443010,29381494,"72.6%","$11,061,516","27.4%",2000,425,"Bless the Child (1993), Cathy Cash Spellman",1993,2000,7
"103","Blood Work",110,"Blood Work",31794718,26235081,"82.5%","$5,559,637","17.5%",2002,438,"Blood Work (1998), Michael Connelly",1998,2002,4
"104","Book of Love",160,"Book of Love",1382259,1382259,"100%","-","-",1991,1759,"Jack in the Box (1980), William Kotzwinkle",1980,1990,10
"105","Brainstorm",72,"Brainstorm",10219460,10219460,"100%","-","-",1983,2967,"The Song of the Damned (Portuguese: Canto dos Malditos) (2001), Austregésilo Carrano Bueno",2001,2000,-1
"106","Bridge to Terabithia",44,"Bridge to Terabithia",137587063,82272442,"59.8%","$55,314,621","40.2%",2007,503,"Bridge to Terabithia (1977), Katherine Paterson",1977,2007,30
"107","Bridge to Terabithia",44,"Bridge to Terabithia",137587063,82272442,"59.8%","$55,314,621","40.2%",2007,502,"Bridge to Terabithia (1977), Katherine Paterson",1977,1985,8
"108","Bridget Jones's Baby",42,"Bridget Jones's Baby",211952420,24252420,"11.4%","$187,700,000","88.6%",2016,508,"Bridget Jones (1996–2016) (series)[N 12], Helen Fielding",1996,2016,20
"109","Bridget Jones's Diary",14,"Bridget Jones's Diary",281929795,71543427,"25.4%","$210,386,368","74.6%",2001,506,"Bridget Jones (1996–2016) (series)[N 12], Helen Fielding",1996,2001,5
"110","Bridget Jones: The Edge of Reason",16,"Bridget Jones: The Edge of Reason",265126918,40226215,"15.2%","$224,900,703","84.8%",2004,507,"Bridget Jones (1996–2016) (series)[N 12], Helen Fielding",1996,2004,8
"111","Bright Lights, Big City",62,"Bright Lights, Big City",16118077,16118077,"100%","-","-",1988,509,"Bright Lights, Big City (1984), Jay McInerney",1984,1988,4
"112","Bringing Out the Dead",107,"Bringing Out the Dead",16798496,16797191,"100%","-","-",1999,512,"Bringing Out the Dead (1998), Joe Connelly",1998,1999,1
"113","Broken Arrow",20,"Broken Arrow",70770147,70770147,"100%","-","-",1996,432,"Blood Brother (1947), Elliott Arnold",1947,1950,3
"114","Burglar",68,"Burglar",16337355,16337355,"100%","-","-",1987,525,"The Burglar in the Closet (1978), Lawrence Block",1978,1987,9
"115","Cape Fear",12,"Cape Fear",79091969,79091969,"100%","-","-",1991,1124,"The Executioners (1957), John D. MacDonald",1957,1991,34
"116","Cape Fear",12,"Cape Fear",79091969,79091969,"100%","-","-",1991,1123,"The Executioners (1957), John D. MacDonald",1957,1962,5
"117","Careful, He Might Hear You",127,"Careful, He Might Hear You",2938179,2938179,"100%","-","-",1984,563,"Careful, He Might Hear You (1963), Sumner Locke Elliott",1963,1983,20
"118","Carlito's Way",41,"Carlito's Way",36948322,36948322,"100%","-","-",1993,96,"After Hours (1979), Edwin Torres",1979,1993,14
"119","Carlito's Way",41,"Carlito's Way",36948322,36948322,"100%","-","-",1993,564,"Carlito's Way (1975), Edwin Torres",1975,1993,18
"120","Carrie",84,"Carrie",84790678,35266619,"41.6%","$49,524,059","58.4%",2013,571,"Carrie (1974), Stephen King",1974,2002,28
"121","Carrie",84,"Carrie",84790678,35266619,"41.6%","$49,524,059","58.4%",2013,572,"Carrie (1974), Stephen King",1974,2013,39
"122","Carrie",84,"Carrie",84790678,35266619,"41.6%","$49,524,059","58.4%",2013,2936,"Sister Carrie (1900), Theodore Dreiser",1900,1952,52
"123","Carrie",84,"Carrie",84790678,35266619,"41.6%","$49,524,059","58.4%",2013,569,"Carrie (1974), Stephen King",1974,1976,2
"124","Casino Royale",4,"Casino Royale",606000064,167445960,"27.6%","$438,553,632","72.4%",2006,577,"Casino Royale (1953), Ian Fleming",1953,2006,53
"125","Casino Royale",4,"Casino Royale",606000064,167445960,"27.6%","$438,553,632","72.4%",2006,576,"Casino Royale (1953), Ian Fleming",1953,1967,14
"126","Charlie and the Chocolate Factory",8,"Charlie and the Chocolate Factory",474968763,206459076,"43.5%","$268,509,687","56.5%",2005,593,"Charlie and the Chocolate Factory (1964), Roald Dahl",1964,2005,41
"127","Charlotte's Web",35,"Charlotte's Web",148964090,82985708,"55.7%","$65,978,114","44.3%",2006,600,"Charlotte's Web (1952), E. B. White",1952,1973,21
"128","Charlotte's Web",35,"Charlotte's Web",148964090,82985708,"55.7%","$65,978,114","44.3%",2006,602,"Charlotte's Web (1952), E. B. White",1952,2006,54
"129","Children of Men",81,"Children of Men",70458656,35552383,"50.5%","$34,903,387","49.5%",2006,607,"The Children of Men (1992), P. D. James",1992,2006,14
"130","Chinese Box",181,"Chinese Box",2178160,2178160,"100%","-","-",1998,1921,"Kowloon Tong (1997), Paul Theroux",1997,1997,0
"131","Chocolat",27,"Chocolat",152699946,71509363,"46.8%","$81,190,583","53.2%",2000,613,"Chocolat (1999), Joanne Harris",1999,2000,1
"132","Chocolat",138,"Chocolat",2317091,2317091,"100%","-","-",1989,613,"Chocolat (1999), Joanne Harris",1999,2000,1
"133","Christine",35,"Christine",21019920,21017849,"100%","-","-",1983,615,"Christine (1983), Stephen King",1983,1983,0
"134","Christmas with the Kranks",60,"Christmas with the Kranks",96572480,73780539,"76.4%","$22,791,941","23.6%",2004,2941,"Skipping Christmas (2001), John Grisham",2001,2004,3
"135","Christopher Robin",45,"Christopher Robin",197744377,99215042,"50.2%","$98,529,335","49.8%",2018,3554,"Winnie-the-Pooh (1926–1928) (series)[N 18], A.A. Milne",1926,2018,92
"136","City of God",112,"City of God",30641770,7564459,"24.7%","$23,077,311","75.3%",2002,637,"City of God (Portuguese: Cidade de Deus) (1997), Paulo Lins",1997,2002,5
"137","Class Reunion",68,"Class Reunion",10054150,10054150,"100%","-","-",1982,642,"Class Reunion (German: Der Abituriententag) (1928), Franz Werfel",1928,1974,46
"138","Clear and Present Danger",7,"Clear and Present Danger",122187717,122187717,"100%","-","-",1994,644,"Clear and Present Danger (1989), Tom Clancy",1989,1994,5
"139","Clockers",104,"Clockers",13071518,13071518,"100%","-","-",1995,646,"Clockers (1992), Richard Price",1992,1995,3
"140","Clueless",33,"Clueless",56665084,56631572,"99.9%","$33,512","<0.1%",1995,1084,"Emma (1815), Jane Austen",1815,1995,180
"141","Cobra",15,"Cobra",49042224,49042224,"100%","-","-",1986,2800,"A Running Duck (a.k.a. Fair Game) (1974), Paula Gosling",1974,1986,12
"142","Cocoon",6,"Cocoon",76113124,76113124,"100%","-","-",1985,651,"Cocoon (1985), David Saperstein",1985,1985,0
"143","Cocoon: The Return",54,"Cocoon: The Return",18924919,18924919,"100%","-","-",1988,652,"Cocoon (1985), David Saperstein",1985,1988,3
"144","Cold Mountain",32,"Cold Mountain",173013509,95636509,"55.3%","$77,377,000","44.7%",2003,658,"Cold Mountain (1997), Charles Frazier",1997,2003,6
"145","Confessions of a Shopaholic",52,"Confessions of a Shopaholic",108394089,44277350,"40.8%","$64,116,739","59.2%",2009,2877,"The Secret Dreamworld of a Shopaholic (2003), Madeline Wickham (as Sophie Kinsella)",2003,2009,6
"146","Congo",17,"Congo",81022101,81022101,"100%","-","-",1995,675,"Congo (1980), Michael Crichton",1980,1995,15
"147","Contact",19,"Contact",100920329,100920329,"100%","-","-",1997,690,"Contact (1985), Carl Sagan",1985,1997,12
"148","Courage Mountain",173,"Courage Mountain",1393610,1393610,"100%","-","-",1990,1563,"Heidi (1880–81), Johanna Spyri",1880,1990,110
"149","Crash",173,"Crash",2671299,2664812,"99.8%","-","-",1996,720,"Crash (1973), J. G. Ballard",1973,1996,23
"150","Crash",53,"Crash",98410061,54580300,"55.5%","$43,829,761","44.5%",2005,720,"Crash (1973), J. G. Ballard",1973,1996,23
"151","Creator",113,"Creator",5349607,5349607,"100%","-","-",1985,721,"Creator (1980), Jeremy Leven",1980,1985,5
"152","Crouching Tiger, Hidden Dragon",18,"Crouching Tiger, Hidden Dragon",213525736,128078872,"60%","$85,446,864","40%",2000,725,"Crouching Tiger, Hidden Dragon (Chinese: 卧虎藏龙, Wòhǔ Cánglóng) (1942), Wang Dulu",1942,2000,58
"153","Cruel Intentions",50,"Cruel Intentions",75902208,38328567,"50.5%","$37,573,641","49.5%",1999,746,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",1782,1999,217
"154","Cruella",17,"Cruella",233503234,86103234,"36.9%","$147,400,000","63.1%",2021,1684,"The Hundred and One Dalmatians (1956), Dodie Smith",1956,2021,65
"155","Crusoe",194,"Crusoe",315421,315421,"100%","-","-",1989,2767,"Robinson Crusoe (1719), Daniel Defoe",1719,1988,269
"156","Cry Wolf",130,"Cry Wolf",32586408,10047674,"30.8%","$22,538,734","69.2%",2005,728,"Cry Wolf (a. k. a. The Demarest Inheritance) (1945), Marjorie Carleton",1945,1947,2
"157","Cutter's Way",96,"Cutter's Way",1729274,1729274,"100%","-","-",1981,729,"Cutter and Bone (1976), Newton Thornburg",1976,1981,5
"158","Dad",48,"Dad",22103037,22103037,"100%","-","-",1989,734,"Dad (1981), William Wharton",1981,1989,8
"159","Damage",104,"Damage",7532911,7532911,"100%","-","-",1992,735,"Damage (1991), Josephine Hart",1991,1992,1
"160","Dances with Wolves",3,"Dances with Wolves",184208848,184208848,"100%","-","-",1990,739,"Dances with Wolves (1986), Michael Blake",1986,1990,4
"161","Dangerous Liaisons",32,"Dangerous Liaisons",34670720,34670720,"100%","-","-",1988,749,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",1782,2012,230
"162","Dangerous Liaisons",32,"Dangerous Liaisons",34670720,34670720,"100%","-","-",1988,750,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",1782,2022,240
"163","Dangerous Liaisons",32,"Dangerous Liaisons",34670720,34670720,"100%","-","-",1988,744,"The Dangerous Liaisons (French: Les Liaisons dangereuses) (1782), Pierre Choderlos de Laclos",1782,1988,206
"164","Daniel",150,"Daniel",687475,687475,"100%","-","-",1983,457,"The Book of Daniel (1971), E. L. Doctorow",1971,1983,12
"165","Das Boot",65,"Das Boot",10916352,10915250,"100%","-","-",1982,458,"The Boat (German: Das Boot) (1973), Lothar-Günther Buchheim",1973,1981,8
"166","Dawn of the Planet of the Apes",8,"Dawn of the Planet of the Apes",710644566,208545589,"29.3%","$502,098,977","70.7%",2014,2571,"Planet of the Apes (French: La Planète des singes) (1963), Pierre Boulle",1963,2014,51
"167","Dead Calm",96,"Dead Calm",7825135,7825009,"100%","-","-",1989,779,"Dead Calm (1963), Charles K. Williams",1963,1989,26
"168","Deadly Friend",75,"Deadly Friend",8988731,8988731,"100%","-","-",1986,1342,"Friend (1985), Diana Henstell",1985,1986,1
"169","Dear John",57,"Dear John",114991723,80014842,"69.6%","$34,969,824","30.4%",2010,787,"Dear John (2006), Nicholas Sparks",2006,2010,4
"170","Death on the Nile",37,"Death on the Nile",137307235,45630104,"33.2%","$91,677,131","66.8%",2022,793,"Death on the Nile (1937), Agatha Christie",1937,1978,41
